Name,Gen,Description
Secret Key,I,Allows access to theCinnabar Gym.
Secret Key,IV,Allows access to the secret room within theGalactic Veilstone Building.
Secret Medicine,II,Used to cureAmphy's sicknessGSCHGSSor thePsyduck's headachesDPPtBDSP. Is produced by theCianwood CityPharmacy.Note:CalledSecret Potionprior toPokémon Brilliant Diamond and Shining Pearland formatted asSecretPotionprior toGeneration VI.
Secret Medicine,VIII,"Used in the request ""The Headache-Stricken Psyduck""."
Seed of Mastery,VIII,Can be given toZisuto have a Pokémonmastera move.
Seel Candy,VII,Increase all stats of a member of theSeelfamily by oneAVpoint.
Serious Mint,VIII,Changes a Pokémon'sNatureto Serious.
Shadow Mail,III,Mail with a picture ofDuskull. To be held by a Pokémon for delivery.
Shaderoot Carrot,VIII,Allows theplayerto summonSpectrierat theCrown Shrine.
Shalour Sable,VI,Cures anystatus condition.
Sharp Beak,II,Raises the power ofFlying-typemoves.
Sharpedonite,VI,AllowsSharpedotoMega Evolveinto Mega Sharpedo.
Shed Shell,IV,Allows the holder to escape from battle.
Shell Bell,III,Restores HP to the holder based on damage inflicted to the opponent.
Shellder Candy,VII,Increase all stats of a member of theShellderfamily by oneAVpoint.
Shiny Charm,V,A shiny charm said to increase the chance of finding a Shiny Pokémon.
Shiny Leaf*,IV,Note:Can only be held by Pokémon and found on certain tiles in certain areas by checking the Pokémon that follows the player. No guarantee that the player can find it even in the right place.
Shiny Stone,IV,"Can be used to evolveTogetic,Roselia,Minccino, andFloette."
Shoal Salt,III,Can be used to make aShell Bell. Does not have any use inGeneration IV. Can be sold to an item maniac in theIcirrus CityPokémon Center for$7000 inGeneration V.
Shoal Shell,III,Can be used to make aShell Bell. Does not have any use inGeneration IV. Can be sold to an item maniac inRoute 5for$7000 inGeneration V.
Shock Drive,V,MakesTechno BlastanElectric-typemove when held byGenesect.
Shuca Berry,IV,Reduces damage taken from asuper effectiveGround-typemove.
Silk Scarf,III,Raises the power ofNormal-typemoves.
Silph Scope,I,Used to identify ghosts inPokémon Tower.
Silver Bottle,IX,One of the water bottles the player can use during apicnic.
Silver Cup,IX,One of the cups the player can use during apicnic.
Silver Leaf,II,Can be sold for$500.
Silver Nanab Berry,VII,Makes awild Pokémonless likely to move and the target ring shrink slower.
Silver Pick,IX,One of the picks the player can use to make asandwich.
Silver Pinap Berry,VII,Increases theberriesandcandiesdropped by awild Pokémonafter capture.
Silver Powder,II,Raises the power ofBug-typemoves.Note:Formatted asSilverPowderprior toGeneration VI.
Silver Razz Berry,VII,Increases awild Pokémon'scatch rate.
Silver Wing,II,SummonsLugia.
Simple Chairs,IX,One of the chair sets the player can use during apicnic.
Sitrus Berry,III,Restores 30 HP inGeneration III. Restores ¼ of maximum HP from Generation IV onwards.
Skull Fossil,IV,A Fossil from which aCranidoscan be resurrected.
Sky Plate,IV,Raises the power ofFlying-typemoves. Changes the moveJudgmenttoFlying-type.
Sky Tumblestone,VIII,"Used to craftFeather,Wing, andJet BallsinHisui."
Slowbronite,VI,AllowsSlowbrotoMega Evolveinto Mega Slowbro.
Slowpoke Candy,VII,Increase all stats of a member of theSlowpokefamily by oneAVpoint.
Slowpoke Cup,IX,One of the cups the player can use during apicnic.
Slowpoke Tail,II,Can be sold for$4900.Note:Formatted asSlowpokeTailprior toGeneration VI.
Small Bouquet,VII,Gift frompartner Pokémonafter entering theHall of Fame.
Small Tablet,III,Used to activate theRelic Stone.
Smart Candy,VII,Increase a Pokémon'sSpecial Attackby 1AVuntil it has reached 50AV's in the stat.
Smart Candy L,VII,Increase alevel30+ Pokémon'sSpecial Attackby 1AVuntil it has reached 100AV's in the stat.
Smart Candy XL,VII,Increase alevel60+ Pokémon'sSpecial Attackby 1AVuntil it has reached 200AV's in the stat.
Smiling Vee Pick,IX,One of the picks the player can use to make asandwich.
Smoke Ball,III,Aheld itemthat allows the user to flee from any wild Pokémon battle. Can be used an unlimited number of times.
Smoke Bomb,VIII,Creates a temporary smoke cloud that hides the player.
Smoke-Poke Tail,VIII,Ingredient forcurry.
Smoked Fillet,IX,An ingredient forsandwiches.
Smooth Rock,IV,Extends the duration ofsandstorms.
Snorlax Candy,VII,Increase all stats of a member of theSnorlaxfamily by oneAVpoint.
Snorlium Z,VII,AllowsSnorlaxto upgradeGiga Impactto the specialZ-MovePulverizing Pancake.
Snowball,VI,Raises the holder'sAttackby one stage after being hit by anIce-typeattack. Consumed after use.
Snowball,VIII,Used to stun Pokémon.
Snow Balm,VIII,Can be used to calm frenziedHisuianAvalugg.
Snow Mail,IV,Mail with a snow print. To be held by a Pokémon for delivery.
Soda Pop,I,Restores 50 HP. (60HP beforeGen. VII).
Soft Sand,II,Raises the power ofGround-typemoves.
Solgaleo Treat,IX,Allows theplayerto encounterSolgaleoin theTerarium.
Solganium Z,VII,AllowsSolgaleoandDusk ManeNecrozmato upgradeSunsteel Striketo the specialZ-MoveSearing Sunraze Smash.
Sonia's Book,VIII,Professor Sonia's published writings.
Soot Sack,III,Allows player to gather soot fromMt. Chimneyand exchange forFlutes.
Sootfoot Root,VIII,Used to craftSmoke BombsinHisui.
Soothe Bell,II,Causes the holder to gain friendship more quickly.
Soul Dew,III,Increases thepowerofPsychic-typeandDragon-typemoves used byLatiasandLatiosby 20%. (Raises theSpecial AttackandSpecial Defenseof Latias and Latios beforeGen. VII).
Soul Slate,VIII,Allows the player to fight theEon duoin the Soul Room.
Sour Herba Mystica,IX,An ingredient forsandwiches.
Space Balm,VIII,Can be used to calm frenziedPalkiain itsOrigin Forme.
Space Mail,IV,Mail with an outer space pattern. To be held by a Pokémon for delivery.
Sparkling Stone,VII,Given toHalato make aZ-RingSMorZ-Power RingUSUM.
Spearow Candy,VII,Increase all stats of a member of theSpearowfamily by oneAVpoint.
Spectrier Treat,IX,Allows theplayerto encounterSpectrierin theTerarium.
Spell Tag,II,Raises the power ofGhost-typemoves.
Spelon Berry,III,PokéblockandPoffiningredient.
Spice Mix,VIII,Ingredient forcurry.
Spicy Herba Mystica,IX,An ingredient forsandwiches.
Splash Plate,IV,Raises the power ofWater-typemoves. Changes the moveJudgmenttoWater-type.
Spoiled Apricorn,VIII,Used to stun Pokémon and craftSticky GlobsinHisui.
Spooky Chairs,IX,One of the chair sets the player can use during apicnic.
Spooky Plate,IV,Raises the power ofGhost-typemoves. Changes the moveJudgmenttoGhost-type.
Spooky Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Sport Ball,II,A type of Poké Ball that is used in theBug-Catching Contest.Note:CalledPark BallinGeneration II.
Sprayduck,IV,Used to waterBerryplants.
Springy Mushroom,VIII,Used to craftMushroom CakesinHisuiand bait certain Pokémon.
Sprinklotad,VI,Used to waterBerryplants.
Squall Slate,VIII,Allows the player to fightLugiain the Squall Room.
Squirt Bottle,II,Used to bringSudowoodoout of hiding.Note:Formatted asSquirtBottleprior toGeneration VI.
Squirtle Candy,VII,Increase all stats of a member of theSquirtlefamily by oneAVpoint.
Stable Mulch,IV,Extends the time ripenedBerrieswill stay on the plant before falling.
Star Piece,II,Can be sold for$4900.
Star Sweet,VIII,WhenMilceryevolves holding this theAlcremiewill have the Star Sweet decoration.
Stardust,II,Can be sold for$1000.
Starf Berry,III,Raises a random stat when HP is below ⅓.
Staryu Candy,VII,Increase all stats of a member of theStaryufamily by oneAVpoint.
Stealth Spray,VIII,Reduces the chance that Pokémon will notice the player.
Steel Bottle (B),IX,One of the water bottles the player can use during apicnic.
Steel Bottle (R),IX,One of the water bottles the player can use during apicnic.
Steel Bottle (Y),IX,One of the water bottles the player can use during apicnic.
Steel Gem,V,"Increases the power of the holder's firstSteel-typemove by 50%, and is consumed after use."
Steel Mail,IV,Mail with a metallic design. To be held by a Pokémon for delivery.
Steel Memory,VII,MakesSilvallyaSteel-typePokémon and makesMulti-Attacka Steel-type move.
Steel Teeth,III,Give to the old man in front ofUnder Colosseumto obtain theL-Disk.
Steel Tera Shard,IX,Used to change theTera Typeof a Pokémon toSteeltype.
Steelium Z,VII,Allows a Pokémon to upgrade theirSteel-typedamaging moves to theZ-MoveCorkscrew Crashor upgrade their Steel-type status moves into Z-Moves. MakesArceusa Steel-type Pokémon.
Steelixite,VI,AllowsSteelixtoMega Evolveinto Mega Steelix.
Stellar Tera Shard,VIII,Used to change theTera Typeof a Pokémon toStellartype.
Sticky Barb,IV,Damages the holder. May latch onto the foe if a physical move is used and the foe is not already holding an item.
Sticky Glob,VIII,Used to stun Pokémon.
Stone Plate,IV,Raises the power ofRock-typemoves. Changes the moveJudgmenttoRock-type.
Storage Key,III,Allows a door to be opened on theAbandoned ShipRSEor the storage hold on theSea MauvilleORAS.
Storage Key,IV,Gives the player access to the Galactic Warehouse inVeilstone City.
Strange Ball,VIII,A placeholder Poké Ball that displays as a Pokémon's Poké Ball if it was caught in Poké Ball that does not exist in the game.
Strange Souvenir,VI,Can be sold for a low price.
Stratospheric Slate,VIII,Allows the player to fightRayquazain the Stratospheric Room.
Strawberry,IX,An ingredient forsandwiches.
Strawberry Sweet,VIII,WhenMilceryevolves holding this theAlcremiewill have the Strawberry Sweet decoration.
Stretchy Spring,VII,Can be sold for$10.
Strib Berry,III,Pokéblockingredient. Will become anEnigma Berryif transferred toGeneration IVviaPal Park.
Striped Bottle,IX,One of the water bottles the player can use during apicnic.
Striped Chairs,IX,One of the chair sets the player can use during apicnic.
Striped Cup,IX,One of the cups the player can use during apicnic.
Striped Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Style Card,VIII,Increases the selection in boutiques and hair salons.
Subway Key,III,Operates the subway betweenThe Underand theShadow PKMN Lab.
Suicune Treat,IX,Allows theplayerto encounterSuicunein theTerarium.
Suite Key,IV,Give to NPC in exchange forLava Cookie.
Sun Flute,VII,Used to evolveNebbyintoSolgaleoat theAltar of the Sunne.
Sun Shard,III,AllowsEeveeto evolve intoEspeon.
Sun Stone,II,"Can be used to evolveSunkern,Gloom,Cottonee,Petilil, andHelioptile."
Sunrise Flower Pick,IX,One of the picks the player can use to make asandwich.
Sunset Flower Pick,IX,One of the picks the player can use to make asandwich.
Super Lure,VII,Increases encounter rate of rarerwild Pokémonfor 200 steps.
Super Potion,I,Restores 60 HP. (50HP beforeGen. VII).
Super Repel,I,Preventswild Pokémonwith a lowerlevelthan the first member of thepartyfrom appearing for 200 steps
Super Rod,I,Can be used next to or whileSurfingon water to encounter high-level wild aquatic Pokémon.
Superb Remedy,VIII,"Heals a Pokémon by 150 HP, but lower its friendship."
Surfboard,I,"An item that can be used to travel on water, much like using the hidden moveSurf. Unobtainable during normal gameplay."
Surf Mail,II,Mail with aLapraspattern. To be held by a Pokémon for delivery.
Surge Badge,VII,A noveltybadgethat you can receive at theKantonian Gym.
Surprise Mulch,VI,"When applied to a Berry patch, increases the chance of Berrymutation."
Survival Charm B,VIII,Increases the player's health. Is lost upon fainting.
Survival Charm P,VIII,Increases the player's health. Is lost upon fainting.
Survival Charm R,VIII,Increases the player's health. Is lost upon fainting.
Survival Charm T,VIII,Increases the player's health. Is lost upon fainting.
Survival Charm Y,VIII,Increases the player's health. Is lost upon fainting.
Swampertite,VI,AllowsSwamperttoMega Evolveinto Mega Swampert.
Swap Snack,VIII,Temporarily swaps a Pokémon's offensive and defensive stats.
Sweet Apple,VIII,CausesApplinto evolve intoAppletunupon use.
Sweet Heart,V,A very sugary chocolate. It restores one Pokémon's HP by 20.
Sweet Herba Mystica,IX,An ingredient forsandwiches.
Swift Feather,V,Raises theSpeedof a Pokémon.Note:Known asSwift Wingprior to Generation VIII.
Swift Mochi,IX,Increases a Pokémon'sSpeedEVsby 10.
Swordcap,VIII,Used to craftAux PowerandChoice DumplingsinHisui.
Synchro Machine,VIII,Allows theplayerto travel from the perspective of their leadpartyPokémon. It only works inside theTerarium.
Syrupy Apple,IX,Used to evolveApplinintoDipplin.
System Lever,III,Shuts down theCipher Key Lair.
Tamato Berry,III,"Raises friendship, but lowersSpeedEVs."
Tanga Berry,IV,Lowers effectiveness of asuper effectiveBug-typemove.
Tangela Candy,VII,Increase all stats of a member of theTangelafamily by oneAVpoint.
Tapunium Z,VII,Allows theguardian deitiesto upgradeNature's Madnessto the specialZ-MoveGuardian of Alola.
Tart Apple,VIII,CausesApplinto evolve intoFlappleupon use.
Tauros Candy,VII,Increase all stats of a member of theTaurosfamily by oneAVpoint.
Tea,III,To be given to the thirsty guards to gain entry toSaffron City.
Teachy TV,III,Gives tutorials of game functions.
Teal Mask,IX,AllowsOgerponto stay in itsTeal Mask form. Used throughout the story ofThe Teal Mask.
Teal Style Card,IX,Gives theplayermoreclothingand hair style options in certain stores and salons.
Tectonic Slate,VIII,Allows the player to fightGroudonin the Tectonic Room.
Tempting Charm B,VIII,Prevents losing items when fainting once.
Tempting Charm P,VIII,Prevents losing items when fainting once.
Tempting Charm R,VIII,Prevents losing items when fainting once.
Tempting Charm T,VIII,Prevents losing items when fainting once.
Tempting Charm Y,VIII,Prevents losing items when fainting once.
Tentacool Candy,VII,Increase all stats of a member of theTentacoolfamily by oneAVpoint.
Tera Orb,IX,Allow the player toTerastallizePokémon. Must recharge after each use.
Terrain Extender,VII,"Lengthens duration ofElectric Terrain,Psychic Terrain,Grassy Terrain,Misty Terrain, as well asElectric Surge,Psychic Surge,Grassy Surge, andMisty Surgefrom 5 turns to 8 turns when used by the holder."
Terrakion Treat,IX,Allows theplayerto encounterTerrakionin theTerarium.
Teru-sama,II,A group of dummy items. Unobtainable during normal gameplay.
Thanks Mail,V,Stationary designed for a thank you note. To be held by a Pokémon for delivery.
Thick Club,III,DoublesCuboneandMarowak'sAttack.
Throat Spray,VIII,RaisesSpecial Attackafter using asound-based move.
Thunder Stone,I,"Can be used to evolvePikachuintoRaichu,EeveeintoJolteon, andEelektriktoEelektross.Note:Formatted asThunderstoneprior toGeneration VI."
Tidal Bell,IV,Allows theKimono Girlsto summonLugia.
Time Balm,VIII,Can be used to calm frenziedDialgain itsOrigin Forme.
Time Flute,III,Can be used to instantlypurifyaShadow Pokémon.
Timer Ball,III,A type of Poké Ball that works better the longer the battle has lasted.
Timid Mint,VIII,Changes a Pokémon'sNatureto Timid.
Tin of Beans,VIII,Ingredient forcurry.
Tiny Bamboo Shoot,IX,Can be sold for$375.
Tiny Mushroom,II,Exchangeable in return for services.Note:Formatted asTinyMushroomprior toGeneration VI.
TMs,I,One-time use items that can teach moves to Pokémon. Multi-use inGeneration V-Generation VIII.
TM Case,III,HoldsTMs.
TM Materials,IX,Used to createTMsat theTM Machinebased on what Pokémon dropped the item.
TRs,VIII,One-time use items that can teach moves to Pokémon.
TMV Pass,VI,Allows the player to ride the TMV and accessKiloude City.
Tofu,IX,An ingredient forsandwiches.
Tomato,IX,An ingredient forsandwiches.
Topo Berry,III,"Pokéblockingredient. If transferred toGeneration IVviaPal Park, it will turn into anEnigma Berry."
Torn Journal,VIII,"Used in the ""Traces of a Lost Village"" request."
Touga Berry,III,"CuresConfusion. If transferred toGeneration IVviaPal Park, it will turn into anEnigma Berry."
Tough Candy,VII,Increase a Pokémon'sDefenseby 1AVuntil it has reached 50AV's in the stat.
Tough Candy L,VII,Increase alevel30+ Pokémon'sDefenseby 1AVuntil it has reached 100AV's in the stat.
Tough Candy XL,VII,Increase alevel60+ Pokémon'sDefenseby 1AVuntil it has reached 200AV's in the stat.
Town Map,I,Contains an interactive map of the region and where the player is at the time.
Toxic Orb,IV,Inflicts theBadly poisonedstatus on the holder.
Toxic Plate,IV,Raises the power ofPoison-typemoves. Changes the moveJudgmenttoPoison-type.
Travel Trunk,VI,"Not available without cheating. Allows the player to switch theirclothes, just like in aPokémon Center."
Tri-Pass,III,Allows the player to travel to the first threeSevii Islands.
Tropic Mail,III,Mail with a picture ofBellossom. To be held by a Pokémon for delivery.
Tropical Shell,VII,"Can be sold for$1,000."
Tumblestone,VIII,Used to craft types ofPoké BallsinHisui.
Tunnel Mail,IV,Mail with a picture of a dark tunnel/mine. To be held by a Pokémon for delivery.
Twice-Spiced Radish,VIII,Increases the power of moves by 50%.
Twisted Spoon,II,Raises the power ofPsychic-typemoves.Note:Formatted asTwistedSpoonprior toGeneration VI.
Tyranitarite,VI,AllowsTyranitartoMega Evolveinto Mega Tyranitar.
U-Disk,III,Moves the UFO inThe UndertoPyrite Town's windmill.
Ultra Ball,I,A Poké Ball with a high capture rate.
Ultra Ball,VIII,A Poké Ball with a high capture rate. Only craftable inHisui.
Ultranecrozium Z,VII,"AllowsNecrozmato transform intoUltra Necrozmaafter fusing with Solgaleo or Lunala, also upgradesPhoton Geyserto the special Z-MoveLight That Burns the Skyas Ultra Necrozma."
Unown Report,IV,Lists the caughtUnownforms. Replaces theUnown Modeof Generation II.
Unremarkable Teacup,IX,Used to evolveCounterfeit FormPoltchageistintoUnremarkable FormSinistcha.
Unusual Shoes,VIII,"Once bought, slippers are sent to the player's home."
Upgrade,II,A held item which allowsPorygonto evolve when traded.Note:Formatted asUp-Gradeprior toGeneration VIII.
Utility Umbrella,VIII,Protects the holder from the effects ofrainandharsh sunlight.
Uxie's Claw,VIII,One of the items used to obtain theRed Chain.
Vee-Vee Pick,IX,One of the picks the player can use to make asandwich.
Venonat Candy,VII,Increase all stats of a member of theVenonatfamily by oneAVpoint.
Venusaurite,VI,AllowsVenusaurtoMega Evolveinto Mega Venusaur.
Vinegar,IX,An ingredient forsandwiches.
Violet Book,IX,Used in theZero Labto shut downProfessor Turo'stime machine.V
Virizion Treat,IX,Allows theplayerto encounterVirizionin theTerarium.
Vivichoke,VIII,Used to craft items inHisui.
Vivid Scent,III,Reduces the heart gauge by a large amount and increases friendship.
Voice Case 1,III,Heals aCombuskeninAgate Village.
Voice Case 2,III,Heals aPoochyenainAgate Village.
Voice Case 3,III,Heals aTaillowinAgate Village.
Voice Case 4,III,Apparently heals aWobbuffetinAgate Village.
Voice Case 5,III,Heals aShroomishatONBS.
Volcano Balm,VIII,Can be used to calm frenziedHisuianArcanine.
Voltorb Candy,VII,Increase all stats of a member of theVoltorbfamily by oneAVpoint.
Vs. Recorder,IV,Used to record and replay battles.
Vs. Seeker,III,Used to prompt Trainers for a rematch.
Vulpix Candy,VII,Increase all stats of a member of theVulpixfamily by oneAVpoint.
Wacan Berry,IV,Reduces damage taken from asuper effectiveElectric-typemove.
Wailmer Pail,III,Used to waterBerryplants.
Wall Fragment,VIII,Used to restore a wall at theSolaceon Ruins.
Warding Charm B,VIII,Prevents a status condition from affecting player once.
Warding Charm P,VIII,Prevents a status condition from affecting player once.
Warding Charm R,VIII,Prevents a status condition from affecting player once.
Warding Charm T,VIII,Prevents a status condition from affecting player once.
Warding Charm Y,VIII,Prevents a status condition from affecting player once.
Wasabi,IX,An ingredient forsandwiches.
Water Gem,V,"Increases the power of the holder's firstWater-typemove by 50%, and is consumed after use."
Water Memory,VII,MakesSilvallyaWater-typePokémon and makesMulti-Attacka Water-type move.
Water Stone,I,"Can be used to evolvePoliwhirlintoPoliwrath,ShellderintoCloyster,StaryuintoStarmie,EeveeintoVaporeon,LombreintoLudicolo, andPanpourintoSimipour."
Water Tera Shard,IX,Used to change theTera Typeof a Pokémon toWatertype.
Watercress,IX,An ingredient forsandwiches.
Waterium Z,VII,Allows a Pokémon to upgrade theirWater-typedamaging moves to theZ-MoveHydro Vortexor upgrade their Water-type status moves into Z-Moves. MakesArceusa Water-type Pokémon.
Watmel Berry,III,PokéblockandPoffiningredient.
Wave Incense,IV,Raises the power ofWater-typemoves. AMantineholding it can breed to produceMantykeEggs.
Wave Mail,III,Mail with aWailmerdesign. To be held by a Pokémon for delivery.
Weakness Policy,VI,Attack and Sp. Atk sharply increase if the holder is hit with asuper effectivemove.
Weedle Candy,VII,Increase all stats of a member of theWeedlefamily by oneAVpoint.
Wellspring Mask,IX,ChangesOgerponinto itsWellspring Mask formwhen held. It increases thepowerof its moves by 20%.
Wepear Berry,III,PokéblockandPoffiningredient.
Whimsical Chairs,IX,One of the chair sets the player can use during apicnic.
Whimsical Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Whipped Cream,IX,An ingredient forsandwiches.
Whipped Dream,VI,AllowsSwirlixto evolve when traded.
White Apricorn,II,"If taken toKurt, he will make the player aFast Ball. Also, Apricorn Drink ingredient.Note:Formatted asWht Apricornprior to Generation VI."
White Dish,IX,One of the dishes the player can use to make asandwichon.
White Flute,III,Attractswild Pokémonto theplayer.RSEFRLGDPPtHGSSCan be sold for$8000.BWB2W2Decreases the level of wild Pokémon by one to three levels.ORAS
White Herb,III,Raises a lowered stat.
White Mane Hair,VIII,Used with aRadiant Petalto create theReins of Unity.
Wide Lens,IV,Boosts accuracy of holder by an 110%.
Wiki Berry,III,"WhenHPfalls below 25%, restores 50% HP, but confuses Pokémon that dislikedryfood (12.5% when below 50% beforeGen. VII)."
Wing Ball,VIII,A type of Poké Ball that catches flying and farther away Pokémon more easily and at an improved rate.
Winking Pika Pick,IX,One of the picks the player can use to make asandwich.
Wise Glasses,IV,Raises the power ofspecial moves.
Wishing Chip,VIII,Unobtainable without cheating.
Wishing Piece,VIII,Can be thrown into an inactive Pokémon Den in theWild Areain order to enable aMax Raid Battleat said Den.
Wishing Star,VIII,Can be fashioned to create aDynamax Band.
Wood,VIII,Used to craftPokéshi Dolls.
Wood Mail,III,Mail with picture of aSlakoth.
Wooden Crown,VIII,Used to summonCalyrextoFreezington.
Works Key,IV,Allows player access to theValley WindworksnearFloaroma Town.
X Accuracy,I,Raises a Pokémon'sAccuracyby 2 stages (1 stage beforeGen. VII).
X Accuracy 2,V,Sharply raises a Pokémon's accuracy. Wonder Launcher only.
X Accuracy 3,V,Drastically raises a Pokémon's accuracy. Wonder Launcher only.
X Accuracy 6,V,Immensely raises a Pokémon's accuracy. Wonder Launcher only.
X Attack,I,Raises a Pokémon'sAttackby 2 stages (1 stage beforeGen. VII).
X Attack 2,V,Sharply raises a Pokémon's Attack. Wonder Launcher only.
X Attack 3,V,Drastically raises a Pokémon's Attack. Wonder Launcher only.
X Attack 6,V,Immensely raises a Pokémon's Attack. Wonder Launcher only.
X Defense,I,Raises a Pokémon'sDefenseby 2 stages (1 stage beforeGen. VII).Note:CalledX Defendprior toGeneration VI.
X Defense 2,V,Sharply raises a Pokémon's Defense. Wonder Launcher only.Note:CalledX Defend 2prior toGeneration VI.
X Defense 3,V,Drastically raises a Pokémon's Defense. Wonder Launcher only.Note:CalledX Defend 3prior toGeneration VI.
X Defense 6,V,Immensely raises a Pokémon's Defense. Wonder Launcher only.Note:CalledX Defend 6prior toGeneration VI.
X Sp. Atk,I,Raises a Pokémon'sSpecial Attack(SpecialinGeneration I) by 2 stages (1 stage beforeGen. VII).Note:CalledX Specialprior toGeneration VI.
X Sp. Atk 2,V,Sharply raises a Pokémon's Special Attack. Wonder Launcher only.Note:CalledX Special 2prior toGeneration VI.
X Sp. Atk 3,V,Drastically raises a Pokémon's Special Attack. Wonder Launcher only.Note:CalledX Special 3prior toGeneration VI.
X Sp. Atk 6,V,Immensely raises a Pokémon's Special Attack. Wonder Launcher only.Note:CalledX Special 6prior toGeneration VI.
X Sp. Def,II,Raises a Pokémon'sSpecial Defenseby 2 stages (1 stage beforeGen. VII).
X Sp. Def 2,V,Sharply raises a Pokémon's Special Defense. Wonder Launcher only.
X Sp. Def 3,V,Drastically raises a Pokémon's Special Defense. Wonder Launcher only.
X Sp. Def 6,V,Immensely raises a Pokémon's Special Defense. Wonder Launcher only.
X Speed,I,Raises a Pokémon'sSpeedby 2 stages (1 stage beforeGen. VII).
X Speed 2,V,Sharply raises a Pokémon's Speed. Wonder Launcher only.
X Speed 3,V,Drastically raises a Pokémon's Speed. Wonder Launcher only.
X Speed 6,V,Immensely raises a Pokémon's Speed. Wonder Launcher only.
Xtransceiver,V,Used to make video calls to other players. Also used by in-game Trainers to advance the story.
Yache Berry,IV,Reduces damage taken from asuper effectiveIce-typemove.
Yago Berry,III,Pokéblockingredient. Will turn into anEnigma Berryif transferred toGeneration IVviaPal Park.
Yarn Ball,IX,One of the balls the player and their Pokémon can play with during apicnic.
Yellow Apricorn,II,"If taken toKurt, he will make the player aMoon Ballout of it.Note:Formatted asYlw Apricornprior to Generation VI."
Yellow Bell Pepper,IX,An ingredient forsandwiches.
Yellow Bottle,IX,One of the water bottles the player can use during apicnic.
Yellow Chairs,IX,One of the chair sets the player can use during apicnic.
Yellow Cup,IX,One of the cups the player can use during apicnic.
Yellow Dish,IX,One of the dishes the player can use to make asandwichon.
Yellow Flute,III,Snaps a Pokémon out ofConfusion.RSEFRLGColoXDDPPtHGSSORASCan be sold for$7500.BWB2W2
Yellow Nectar,VII,ChangesOricorioto its Pom-Pom Style.
Yellow Petal,VII,A yellow petal required to complete Mina's Trial.
Yellow Scarf,III,Raises theToughcondition.
Yellow Shard,III,Exchangeable for a variety of services.
Yellow Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Ylw ID Badge,III,One of four keys needed to unlock the north door ofRealgam Tower.
Yogurt,IX,An ingredient forsandwiches.
Zap Plate,IV,Raises the power ofElectric-typemoves. Changes the moveJudgmenttoElectric-type.
Zapdos Candy,VII,Increase all stats of a member of theZapdosfamily by oneAVpoint.
Zapdos Treat,IX,Allows theplayerto encounterZapdosin theTerarium.
Zekrom Treat,IX,Allows theplayerto encounterZekromin theTerarium.
Zinc,III,Raises theSpecial Defenseof a Pokémon.
Zoom Lens,IV,"A Pokémonheld item. If the holder moves after its target moves, itsAccuracywill be boosted."
Z-Power Ring,VII,Allows the player to useZ-Moveswhen a Pokémon is holding an appropriateZ-Crystal. Allows the player to useMega Evolutionafter obtaining aKey Stonewhen a Pokémon is holding the appropriateMega Stone.
Z-Ring,VII,Allows the player to useZ-Moveswhen a Pokémon is holding an appropriateZ-Crystal. Allows the player to useMega Evolutionafter obtaining aKey Stonewhen a Pokémon is holding the appropriateMega Stone.
Zubat Candy,VII,Increase all stats of a member of theZubatfamily by oneAVpoint.
Zygarde Cube,VII,Holds collectedZygardeCores and Cells and teaches Zygardemoves.
